EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
�117326,Kitchener,N2E,Other,Other,Other,Other ,BOMA BEST,0.131750271932544,3.4,0.567688671709344,15.219535434566865,1.413941018766756,0.0130387687996063,0.0012113411818147,0.0,0.0,0.6622388668609344,17.09,0.8005766523901056,20.66,0.751751551615104,19.4,0.8982268539401087,23.18,28.093807985616,2.61,0.0,,Yes,2025-06-24
117332�,Kitchener,N2R,Other,Other,Other,Other ,,0.147250303924608,3.8,0.4541509373674752,12.17562834765349,1.131152815013405,0.1890621475942915,0.0175644471363137,0.0,0.0,0.5246760829313664,13.54,0.6688263804575616,17.26,0.6041137468906944,15.59,0.7540765564139137,19.46,20.45143110064,1.9,0.0,,Yes,2025-06-24
117651,Waterloo,N2J,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,0.085250175956352,2.2,0.4541509373674752,12.17562834765349,1.131152815013405,0.9599793528710148,0.0891849945111102,0.0,0.0,0.4870885053506112,12.57,0.5816387005022016,15.01,0.5452136253208513,14.07,0.6428638268708544,16.59,20.98962665592,1.95,0.0,,Yes,2025-06-25
�118009,Woodstock,N4V,Other,Other,Other,Other ,,0.13562527993056,3.5,0.3406132030256064,9.131721260740118,0.8483646112600536,0.0876042278723549,0.0081386985653177,0.0,0.0,0.4235383741831488,10.93,0.554126143716288,14.3,0.4963885245458496,12.81,0.631626303676608,16.3,15.822949325232,1.47,0.0,,Yes,2025-06-24
119482�,London,N5W,Other,Other,Other,Other ,,1.426002943269888,36.8,2.4978301555211133,66.96595591209419,6.221340482573726,0.0973833044720596,0.0090472044516788,0.0,0.0,3.45611963343047,89.19,4.761997328761862,122.89,3.926158103589811,101.32,5.259548355707116,135.73,116.25023994048,10.8,0.0,,Yes,2025-06-24
128555,Brampton,L6T,Other,Mixed Use Property,Other,Other ,,0.713001471634944,18.4,1.0218396090768191,27.39516378222035,2.545093833780161,0.0,0.0,,,1.62750335916672,42.0,2.2839297140306303,58.94,1.7274785655155327,44.58,2.379254910781824,61.4,52.527886195328,4.88,0.0,,No,
�136167,Etobicoke,M9C,Other,Other,Other,Other ,,0.4882510077500159,12.6,0.7947641403930816,21.307349608393608,1.9795174262734585,0.576150596332604,0.0535261384714388,0.0,0.0,1.1911774585901185,30.74,1.6387408823609664,42.29,1.3209902265236546,34.09,1.7751411638911296,45.81,40.257027534944,3.74,0.0,,Yes,2025-06-19
�136346,Richmond Hill,L4B,Other,Other,Other,Other ,,0.046500095976192,1.2,0.4541509373674752,12.17562834765349,1.131152815013405,0.0884191509223303,0.0082144073891812,0.0,0.0,0.428188383780768,11.05,0.4894135101494208,12.63,0.507626047740096,13.1,0.573501183706368,14.8,19.697957323248,1.83,0.0,,Yes,2025-06-24
�136698,Oakville,L6L,Other,Other,Other,Other ,,0.050375103974208,1.3,0.3406132030256064,9.131721260740118,0.8483646112600536,0.0660087670480069,0.0061324147329371,0.0,0.0,0.3340256894289791,8.62,0.3929258109988224,10.14,0.403000831793664,10.4,0.4657759613615231,12.02,14.746558214672,1.37,0.0,,Yes,2025-06-24
138612�,North York,M9L,Other,Mixed Use Property,Other,Other ,,0.4301258877797759,11.1,0.0,0.0,0.0,0.625860902381103,0.0581443767271075,0.0,0.0,0.4305133885795775,11.11,0.7881766267964544,20.34,0.4305133885795775,11.11,0.7881766267964544,20.34,4.305564442240001,0.4,0.0,,No,
140507,Toronto,M5C,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing ,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,No,
143524,Brampton,L6Y,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,0.131750271932544,3.4,0.3406132030256064,9.131721260740118,0.8483646112600536,0.0896415354972934,0.0083279706249763,0.0896415354972934,0.0083279706249763,0.3712257662099328,9.58,0.4917385149482303,12.69,0.4440759165726336,11.46,0.5723386813069632,14.77,13.562527993056,1.26,0.0,,Yes,2025-06-25
144039,Toronto,M5T,Other - Lodging/Residential,Other - Lodging/Residential,Other - Lodging/Residential,Other - Lodging/Residential ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,
144204,Concord,L4K,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,"Pre-school/Daycare,Office,Library,Fitness Center/Health Club/Gym ",,1.127627327422656,29.1,0.9083018747349504,24.35125669530698,2.26230563002681,1.7977202482457202,0.1670136654427073,1.7977202482457202,0.1670136654427073,1.9522290294004607,50.38,2.958568606485216,76.35,2.0374792053568127,52.58,3.0279312496497024,78.14,51.66677330688,4.8,0.0,,Yes,2025-06-30
144763�,Windsor,N8W,Other,Other,Other,Other ,,0.162750335916672,4.2,0.4541509373674752,12.17562834765349,1.131152815013405,0.106347458021789,0.0098800015141764,0.0,0.0,0.5816387005022016,15.01,0.7416765308202625,19.14,0.6746388924545855,17.41,0.8404892347696704,21.69,22.60421332176,2.1,0.0,,Yes,2025-06-24
