EWRB_ID,City,Postal_Code,PrimPropTypCalc,PrimPropTypSelf,Largest_PropTyp,All_Prop_Types,Thrd_Party_Cert,WN_Sit_Elc_Int1,WN_Sit_Elc_Int2,WN_Sit_Gas_Int1,WN_Sit_Gas_Int2,WN_Sit_Gas_Int3,All_Water_Int1,All_Water_Int2,Ind_Water_Int1,Ind_Water_Int2,Site_EUI1,Site_EUI2,Source_EUI1,Source_EUI2,WN_Site_EUI1,WN_Site_EUI2,WN_Source_EUI1,WN_Source_EUI2,GHG_Emiss_Int1,GHG_Emiss_Int2,Ener_Star_Score,Ener_Star_Certs,Data_Qual_Check,Data_Qual_Date
111369,Mississauga,L5R,Office,Office,Office,Office ,,,,0.567688671709344,15.219535434566865,1.413941018766756,1.0239508122940832,0.0951281371843888,1.0239508122940832,0.0951281371843888,,,,,,,,,0.0,0.0,,,No,
111443,Mississauga,L5T,Retail Store,Retail Store,Retail Store,"Parking,Retail Store ",,,,,,,,,,,,,,,,,,,0.0,0.0,,,No,
111456,Mississauga,L5T,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.1800979940445622,0.0167316500738161,0.1800979940445622,0.0167316500738161,,,,,,,,,0.0,0.0,,,No,
111457,Mississauga,L5T,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.2270754686837376,6.087814173826745,0.5655764075067025,0.1161265346214937,0.0107885074005375,0.1161265346214937,0.0107885074005375,,,,,,,,,0.0,0.0,,,No,
111466,Mississauga,L5T,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.2270754686837376,6.087814173826745,0.5655764075067025,0.0990131505720104,0.0091986220994056,0.0990131505720104,0.0091986220994056,,,,,,,,,0.0,0.0,,,No,
111493,Mississauga,L5T,Other,Other,Other,Other ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.0656013055230192,0.0060945603210054,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111495,Mississauga,L5T,Other,Other,Other,Other ,,,,0.567688671709344,15.219535434566865,1.413941018766756,0.0366715372488927,0.0034068970738539,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111497,Mississauga,L5T,Other,Other,Other,Other ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.3231169893152439,0.0300185486618465,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111499,Mississauga,L5T,Other,Other,Other,Other ,"LEED, BOMA BEST Platinum",,,0.4541509373674752,12.17562834765349,1.131152815013405,0.1764308403196729,0.0163909603664307,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111509,Mississauga,L5W,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.187024839969353,0.0173751750766551,0.187024839969353,0.0173751750766551,,,,,,,,,0.0,0.0,,,No,
111510,Mississauga,L5T,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.4541509373674752,12.17562834765349,1.131152815013405,0.1760233787946852,0.0163531059544989,0.1760233787946852,0.0163531059544989,,,,,,,,,0.0,0.0,,,No,
111516,Toronto,L5T,Other,Non-Refrigerated Warehouse,Other,Other ,,,,,,,0.1018653812469243,0.0094636029829276,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111538,Mississauga,L5T,Other,Non-Refrigerated Warehouse,Other,Other ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.1108295347966536,0.0102964000454252,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111548,Mississauga,L5T,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse ,,,,0.2270754686837376,6.087814173826745,0.5655764075067025,0.1837651477694515,0.0170723397812014,0.1837651477694515,0.0170723397812014,,,,,,,,,0.0,0.0,,,Yes,2025-06-26
111549,Mississauga,L5T,Other,Non-Refrigerated Warehouse,Other,Other ,,,,0.4541509373674752,12.17562834765349,1.131152815013405,0.244884376517606,0.022750501570958,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111552,Mississauga,L5T,Non-Refrigerated Warehouse,Other,Non-Refrigerated Warehouse,"Office,Non-Refrigerated Warehouse,Parking ",,,,0.4541509373674752,12.17562834765349,1.131152815013405,0.1271279957961615,0.0118105765226937,,,,,,,,,,,0.0,0.0,,,Yes,2025-06-30
111557,Mississauga,L5T,Distribution Center,Distribution Center,Distribution Center,Distribution Center ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.0737505360227732,0.0068516485596396,0.0737505360227732,0.0068516485596396,,,,,,,,,0.0,0.0,,,Yes,2025-06-26
111570,Mississauga,L5S,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.3406132030256064,9.131721260740118,0.8483646112600536,0.1483159950955218,0.0137790059431426,0.1483159950955218,0.0137790059431426,,,,,,,,,0.0,0.0,,,No,
111573,Mississauga,L5S,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.2270754686837376,6.087814173826745,0.5655764075067025,0.1572801486452511,0.0146118030056403,,,,,,,,,,,0.0,0.0,,,No,
111640,Mississauga,L5C,Office,Office,Office,Office ,,,,0.567688671709344,15.219535434566865,1.413941018766756,0.0953459968471211,0.0088579323920202,,,,,,,,,,,0.0,0.0,,,No,
111739,Mississauga,L5R,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant ,,,,0.1135377343418688,3.0439070869133724,0.2827882037533512,0.2689246064918802,0.024983911874929,0.2689246064918802,0.024983911874929,,,,,,,,,0.0,0.0,,,No,
